P,1,1,15,24
E,1,1,14,12
E,1,1,13,14
E,1,1,17,14
E,1,1,15,16
#,28,1,1,1
#,1,10,1,1
#,1,10,28,1
#,1,12,1,20
#,1,12,28,20
#,28,1,1,31
#,6,1,1,10
#,6,1,1,14
#,6,1,1,16
#,6,1,1,20
#,6,1,23,10
#,6,1,23,14
#,6,1,23,16
#,6,1,23,20
#,1,5,6,10
#,1,5,6,16
#,1,5,23,10
#,1,5,23,16
#,8,1,11,13
#,8,1,11,17
#,1,5,11,13
#,1,5,18,13
#,3,1,1,25
#,3,1,1,26
#,1,2,3,25
#,3,1,26,25
#,3,1,26,26
#,1,2,26,25
#,2,1,14,5
#,1,5,14,1
#,1,5,15,1
#,4,1,3,3
#,4,1,3,5
#,1,3,3,3
#,1,3,6,3
#,5,1,8,3
#,5,1,8,5
#,1,3,8,3
#,1,3,12,3
#,5,1,17,3
#,5,1,17,5
#,1,3,17,3
#,1,3,21,3
#,4,1,23,3
#,4,1,23,5
#,1,3,23,3
#,1,3,26,3
#,4,1,3,7
#,4,1,3,8
#,1,2,3,7
#,1,2,6,7
#,4,1,23,7
#,4,1,23,8
#,1,2,23,7
#,1,2,26,7
#,2,1,8,7
#,2,1,8,14
#,1,8,8,7
#,1,8,9,7
#,4,1,9,10
#,4,1,9,11
#,1,2,12,10
#,8,1,11,7
#,8,1,11,8
#,1,2,11,7
#,1,2,18,7
#,1,4,14,8
#,1,4,15,8
#,2,1,14,11
#,2,1,20,7
#,2,1,20,14
#,1,8,20,7
#,1,8,21,7
#,1,2,17,10
#,4,1,17,10
#,4,1,17,11
#,2,1,8,16
#,2,1,8,20
#,1,5,8,16
#,1,5,9,16
#,2,1,20,16
#,2,1,20,20
#,1,5,20,16
#,1,5,21,16
#,8,1,11,19
#,8,1,11,20
#,1,2,11,19
#,1,2,18,19
#,1,4,14,20
#,1,4,15,20
#,2,1,14,23
#,4,1,3,22
#,3,1,3,23
#,1,2,3,22
#,1,5,6,22
#,1,4,5,23
#,2,1,5,26
#,5,1,8,22
#,5,1,8,23
#,1,2,8,22
#,1,2,12,22
#,5,1,17,22
#,5,1,17,23
#,1,2,17,22
#,1,2,21,22
#,4,1,23,22
#,3,1,24,23
#,1,5,23,22
#,1,4,24,23
#,2,1,23,26
#,1,2,26,22
#,2,1,8,25
#,10,1,3,28
#,10,1,3,29
#,1,4,8,25
#,1,4,9,25
#,1,2,3,28
#,1,2,12,28
#,8,1,11,25
#,8,1,11,26
#,1,2,11,25
#,1,2,18,25
#,1,4,14,26
#,1,4,15,26
#,2,1,14,29
#,2,1,20,25
#,10,1,17,28
#,10,1,17,29
#,1,2,17,28
#,1,4,20,25
#,1,4,21,25
#,1,2,26,28
G,2,1,14,12
B,2,2
B,2,6
B,2,9
B,2,21
B,2,24
B,2,27
B,2,30
B,4,24
B,4,27
B,7,2
B,7,6
B,7,9
B,7,15
B,7,21
B,7,24
B,7,27
B,10,6
B,10,9
B,10,12
B,10,15
B,10,18
B,10,21
B,10,24
B,10,27
B,13,2
B,13,6
B,13,9
B,13,12
B,13,21
B,13,24
B,13,27
B,13,30
B,16,2
B,16,6
B,16,9
B,16,12
B,16,21
B,16,24
B,16,27
B,16,30
B,19,6
B,19,9
B,19,12
B,19,15
B,19,18
B,19,21
B,19,24
B,19,27
B,22,2
B,22,6
B,22,9
B,22,15
B,22,21
B,22,24
B,22,27
B,25,24
B,25,27
B,27,2
B,27,6
B,27,9
B,27,21
B,27,24
B,27,27
B,27,30
